场景编号,风电场景,光伏场景,储能容量(MWh),储能功率(MW),年化投资成本(元),年运行成本(元),TAC(元),新能源自发自用电量占比(%),总用电量绿电比例(%),新能源上网电量比例(%),吨氨成本(元/吨),日制氨量(吨),SOC_0,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC_7,SOC_8,SOC_9,SOC_10,SOC_11,SOC_12,SOC_13,SOC_14,SOC_15,SOC_16,SOC_17,SOC_18,SOC_19,SOC_20,SOC_21,SOC_22,SOC_23,状态
11,3,3,0.0,0.0,0.0,1264232.99,1264232.99,1.0,1.0,0.0,4069.98,20.5835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
12,3,4,0.0,0.0,0.0,1012616.68,1012616.68,1.0,1.0,0.0,4251.42,15.8789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
13,4,1,0.0,0.0,0.0,4846055.02,4846055.02,1.0,1.0,0.0,5795.6,28.2524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
14,4,2,0.0,0.0,0.0,2931672.31,2931672.31,1.0,1.0,0.0,4734.38,27.8807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
15,4,3,0.0,0.0,0.0,1769224.46,1769224.46,1.0,1.0,0.0,4155.84,26.1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
16,4,4,0.0,0.0,0.0,1463235.63,1463235.63,1.0,1.0,0.0,4189.57,22.5296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
17,5,1,0.0,0.0,0.0,4418910.81,4418910.81,1.0,1.0,0.0,5589.95,27.4179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
18,5,2,0.0,0.0,0.0,2596576.06,2596576.06,1.0,1.0,0.0,4699.76,25.0646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
19,5,3,0.0,0.0,0.0,1461873.97,1461873.97,1.0,1.0,0.0,4100.5,22.9082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
20,5,4,0.0,0.0,0.0,1177691.96,1177691.96,1.0,1.0,0.0,4186.8,18.7524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
21,6,1,0.0,0.0,0.0,3688520.1,3688520.1,1.0,1.0,0.0,5249.76,25.6298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
22,6,2,0.0,0.0,0.0,1902576.2,1902576.2,1.0,1.0,0.0,4341.78,22.4527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
23,6,3,0.0,0.0,0.0,978810.46,978810.46,1.0,1.0,0.0,4128.79,15.7896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
24,6,4,0.0604,0.0302,4026.67,753167.9,757194.57,1.001179,0.998822,0.0,4456.32,11.2546,0.0302,0.0544,0.0544,0.0272,0.0544,0.0272,0.0544,0.0272,0.0544,0.0272,0.0544,0.0207,0.0478,0.0272,0.0544,0.0272,0.0544,0.0272,0.0544,0.0272,0.0544,0.0272,0.0544,0.0272,最优
