场景,风电档位,光伏档位,日产量(吨/天),运行小时,吨氨成本(¥/ton),购电(kWh),售电(kWh),绿电惩罚(¥),分类,求解状态
W3S2,3,2,45,15,5731.32,338842.20,108226.20,24.79,部分满足,Optimal
W3S2,3,2,36,12,4902.34,272586.40,166470.40,106.33,部分满足,Optimal
W3S3,3,3,72,24,8101.12,668756.00,0.00,0.00,全满足,Optimal
W3S3,3,3,63,21,7539.14,561111.80,16855.80,0.00,全满足,Optimal
W3S3,3,3,54,18,6914.30,469302.20,49546.20,0.00,全满足,Optimal
W3S3,3,3,45,15,6236.66,380972.20,85716.20,11.37,部分满足,Optimal
W3S3,3,3,36,12,5463.34,287946.40,117190.40,55.44,部分满足,Optimal
W4S0,4,0,72,24,5195.11,395944.20,158644.20,0.00,全满足,Optimal
W4S0,4,0,63,21,4332.57,305306.40,192506.40,40.07,部分满足,Optimal
W4S0,4,0,54,18,3542.65,222392.40,234092.40,98.29,部分满足,Optimal
W4S0,4,0,45,15,2810.45,212750.20,348950.20,259.09,部分满足,Optimal
W4S0,4,0,36,12,1773.62,212750.20,473450.20,433.39,部分满足,Optimal
W4S1,4,1,72,24,6467.68,505710.40,9850.40,0.00,全满足,Optimal
W4S1,4,1,63,21,5730.88,406752.60,35392.60,0.00,全满足,Optimal
W4S1,4,1,54,18,5088.61,303744.20,56884.20,0.00,全满足,Optimal
W4S1,4,1,45,15,4459.07,253606.40,131246.40,26.70,部分满足,Optimal
W4S1,4,1,36,12,3655.71,233682.20,235822.20,173.11,部分满足,Optimal
W4S2,4,2,72,24,7814.24,661620.00,0.00,0.00,全满足,Optimal
W4S2,4,2,63,21,7256.87,560742.20,23622.20,0.00,全满足,Optimal
W4S2,4,2,54,18,6778.26,476588.00,63968.00,0.00,全满足,Optimal
W4S2,4,2,45,15,6210.74,388963.60,100843.60,30.55,部分满足,Optimal
W4S2,4,2,36,12,5397.67,320658.20,157038.20,109.23,部分满足,Optimal
W4S3,4,3,72,24,8362.75,726260.00,0.00,0.00,全满足,Optimal
W4S3,4,3,63,21,7875.11,624102.20,22342.20,0.00,全满足,Optimal
W4S3,4,3,54,18,7311.30,532932.00,55672.00,0.00,全满足,Optimal
W4S3,4,3,45,15,6716.73,445478.40,92718.40,37.28,部分满足,Optimal
W4S3,4,3,36,12,5974.38,338484.20,110224.20,61.79,部分满足,Optimal
W5S0,5,0,72,24,5530.02,431786.20,90826.20,0.00,全满足,Optimal
W5S0,5,0,63,21,4703.95,339460.40,123000.40,0.00,全满足,Optimal
W5S0,5,0,54,18,3979.68,257430.40,165470.40,31.25,部分满足,Optimal
W5S0,5,0,45,15,3311.42,243186.20,275726.20,185.60,部分满足,Optimal
W5S0,5,0,36,12,2399.83,243186.20,400226.20,359.90,部分满足,Optimal
W5S1,5,1,72,24,7053.59,599520.00,0.00,0.00,全满足,Optimal
W5S1,5,1,63,21,6389.11,498874.20,23854.20,0.00,全满足,Optimal
W5S1,5,1,54,18,5863.18,397425.80,46905.80,0.00,全满足,Optimal
W5S1,5,1,45,15,5243.24,331216.00,105196.00,19.26,部分满足,Optimal
W5S1,5,1,36,12,4464.06,283010.00,181490.00,126.07,部分满足,Optimal
W5S2,5,2,72,24,8458.23,765280.00,0.00,7.67,部分满足,Optimal
W5S2,5,2,63,21,7981.48,662714.20,21934.20,3.05,部分满足,Optimal
W5S2,5,2,54,18,7461.11,574816.00,58536.00,3.17,全不满足,Optimal
W5S2,5,2,45,15,6923.93,490950.40,99170.40,61.04,全不满足,Optimal
W5S2,5,2,36,12,6266.15,389098.20,121818.20,88.94,部分满足,Optimal
W5S3,5,3,72,24,9006.74,829920.00,0.00,27.06,部分满足,Optimal
W5S3,5,3,63,21,8530.17,715751.80,10331.80,18.96,部分满足,Optimal
W5S3,5,3,54,18,7991.22,613856.00,32936.00,14.54,部分满足,Optimal
W5S3,5,3,45,15,7397.92,511250.40,54830.40,23.16,全不满足,Optimal
W5S3,5,3,36,12,6784.40,397752.40,65832.40,30.66,全不满足,Optimal
